253,181,117,61,14,337,310,292,284,286,298,320,351,30,79,135,199,270,348,73,
168,94,29,332,284,246,219,201,194,197,211,234,267,308,358,56,121,194,274,1,
90,14,307,249,201,162,134,117,111,116,131,156,191,234,286,346,53,127,209,297,
19,301,233,173,124,85,57,41,36,43,60,88,125,170,223,285,353,69,152,241,
315,236,166,105,54,14,347,331,328,338,359,29,69,116,172,234,304,21,104,194,
259,178,106,43,352,311,283,269,269,282,307,342,25,75,131,194,265,342,66,157,
210,128,54,350,296,255,226,213,216,235,267,308,355,46,103,167,237,314,39,130,
171,87,11,305,249,205,175,161,167,195,240,291,341,33,89,151,221,297,21,112,
140,54,336,268,209,162,128,111,117,159,232,297,347,36,89,148,216,291,14,104,
118,31,311,240,179,127,87,60,52,94,274,339,15,55,102,158,223,296,17,106,
106,17,296,223,158,102,55,15,339,274,94,52,60,87,127,179,240,311,31,118,
104,14,291,216,148,89,36,347,297,232,159,117,111,128,162,209,268,336,54,140,
112,21,297,221,151,89,33,341,291,240,195,167,161,175,205,249,305,11,87,171,
130,39,314,237,167,103,46,355,308,267,235,216,213,226,255,296,350,54,128,210,
157,66,342,265,194,131,75,25,342,307,282,269,269,283,311,352,43,106,178,259,
194,104,21,304,234,172,116,69,29,359,338,328,331,347,14,54,105,166,236,315,
241,152,69,353,285,223,170,125,88,60,43,36,41,57,85,124,173,233,301,19,
297,209,127,53,346,286,234,191,156,131,116,111,117,134,162,201,249,307,14,90,
1,274,194,121,56,358,308,267,234,211,197,194,201,219,246,284,332,29,94,168,
73,348,270,199,135,79,30,351,320,298,286,284,292,310,337,14,61,117,181,253,
