28,313,245,185,134,92,60,37,23,19,25,41,66,100,143,195,254,322,36,118,
306,229,160,99,47,4,331,307,294,291,298,314,340,16,60,113,174,243,319,43,
232,153,82,20,327,283,249,226,213,210,217,235,263,299,345,39,102,172,250,335,
164,84,12,308,254,209,175,152,139,137,146,165,194,232,279,334,38,110,189,275,
105,23,309,244,189,144,109,86,74,73,84,104,135,174,222,279,344,57,137,224,
53,330,255,189,132,86,51,28,17,18,31,54,86,127,176,234,299,13,94,182,
10,286,209,142,84,37,1,338,329,333,349,15,49,91,141,199,265,339,61,150,
336,250,173,104,45,356,319,296,288,297,319,350,26,68,118,176,242,316,37,127,
311,224,145,75,14,324,285,260,252,267,304,342,18,59,107,164,229,303,24,113,
295,208,127,56,354,301,259,229,214,229,319,357,27,63,108,163,227,300,21,109,
289,201,120,47,343,288,243,207,177,139,49,34,49,79,121,174,236,307,28,115,
293,204,123,49,344,287,239,198,162,124,87,72,80,105,144,194,255,325,44,131,
307,217,136,62,356,298,248,206,170,139,117,108,116,139,176,225,284,353,70,156,
330,241,159,85,19,321,271,229,195,169,153,149,158,181,217,264,322,29,106,190,
2,274,193,119,54,356,307,266,234,211,198,197,208,231,266,312,9,75,150,233,
44,317,237,164,99,42,354,315,284,264,253,254,266,289,324,9,64,129,203,285,
95,9,290,218,154,99,52,14,345,326,317,319,332,355,29,74,128,192,264,344,
155,70,352,282,219,165,119,83,55,37,30,33,46,69,103,147,200,262,333,52,
223,139,63,354,293,240,196,160,134,118,111,114,127,151,184,227,279,340,49,126,
298,216,142,74,15,323,280,246,221,205,199,203,217,240,272,314,5,65,133,208,
