343,264,193,310,255,208,350,321,302,112,112,302,321,350,208,255,310,193,264,343,
264,184,112,227,170,122,263,234,214,24,24,214,234,263,122,170,227,112,184,264,
193,112,37,151,93,44,184,154,134,304,304,134,154,184,44,93,151,37,112,193,
130,47,331,83,24,334,113,83,62,232,232,62,83,113,334,24,83,331,47,130,
75,350,273,24,324,273,52,20,359,168,168,359,20,52,273,324,24,273,350,75,
28,302,224,334,273,221,359,327,305,115,115,305,327,359,221,273,334,224,302,28,
350,263,184,293,232,179,316,284,262,71,71,262,284,316,179,232,293,184,263,350,
321,234,154,263,200,147,284,251,229,38,38,229,251,284,147,200,263,154,234,321,
302,214,134,242,179,125,262,229,207,16,16,207,229,262,125,179,242,134,214,302,
292,204,124,232,168,115,251,218,196,4,4,196,218,251,115,168,232,124,204,292,
292,204,124,232,168,115,251,218,196,4,4,196,218,251,115,168,232,124,204,292,
302,214,134,242,179,125,262,229,207,16,16,207,229,262,125,179,242,134,214,302,
321,234,154,263,200,147,284,251,229,38,38,229,251,284,147,200,263,154,234,321,
350,263,184,293,232,179,316,284,262,71,71,262,284,316,179,232,293,184,263,350,
28,302,224,334,273,221,359,327,305,115,115,305,327,359,221,273,334,224,302,28,
75,350,273,24,324,273,52,20,359,168,168,359,20,52,273,324,24,273,350,75,
130,47,331,83,24,334,113,83,62,232,232,62,83,113,334,24,83,331,47,130,
193,112,37,151,93,44,184,154,134,304,304,134,154,184,44,93,151,37,112,193,
264,184,112,227,170,122,263,234,214,24,24,214,234,263,122,170,227,112,184,264,
343,264,193,310,255,208,350,321,302,112,112,302,321,350,208,255,310,193,264,343,
