-90	7.44721
-88	7.71916
-86	7.92826
-84	8.07295
-82	8.15035
-80	8.15608
-78	8.08407
-76	7.92635
-74	7.67268
-72	7.31024
-70	6.82351
-68	6.19484
-66	5.40755
-64	4.45611
-62	3.37642
-60	2.32093
-58	1.66983
-56	1.92961
-54	3.17833
-52	4.95076
-50	6.80572
-48	8.54393
-46	10.103
-44	11.4817
-42	12.6919
-40	13.7479
-38	14.6624
-36	15.4453
-34	16.1037
-32	16.6425
-30	17.0641
-28	17.3691
-26	17.5558
-24	17.6203
-22	17.5568
-20	17.3556
-18	17.0033
-16	16.4807
-14	15.7601
-12	14.8002
-10	13.5362
-8	11.8588
-6	9.56236
-4	6.18484
-2	0.250736
0	0
2	0.250736
4	6.18484
6	9.56236
8	11.8588
10	13.5362
12	14.8002
14	15.7601
16	16.4807
18	17.0033
20	17.3556
22	17.5568
24	17.6203
26	17.5558
28	17.3691
30	17.0641
32	16.6425
34	16.1037
36	15.4453
38	14.6624
40	13.7479
42	12.6919
44	11.4817
46	10.103
48	8.54393
50	6.80572
52	4.95076
54	3.17833
56	1.92961
58	1.66983
60	2.32093
62	3.37642
64	4.45611
66	5.40755
68	6.19484
70	6.82351
72	7.31024
74	7.67268
76	7.92635
78	8.08407
80	8.15608
82	8.15035
84	8.07295
86	7.92826
88	7.71916
90	7.44721
